case,frame,n_crops,n_pairs,n_distinct_pairs,frame_score,best_pair,best_containment,best_iou
Cosmos3_seed101_0010,150,2,1,1,0.5138044953346252,1-2,0.0,0.0
Cosmos3_seed101_0010,153,2,1,1,0.5693547129631042,1-2,0.0,0.0
Cosmos3_seed101_0010,156,2,1,1,0.6026352643966675,1-2,0.0,0.0
Cosmos3_seed101_0010,159,2,1,1,0.5116405487060547,1-2,0.0,0.0
Cosmos3_seed101_0010,162,2,1,1,0.4706766605377197,1-2,0.0,0.0
Cosmos3_seed101_0010,165,2,1,1,0.4733288288116455,1-2,0.0,0.0
Cosmos3_seed101_0010,168,2,1,1,0.45624732971191406,1-2,0.0,0.0
Cosmos3_seed101_0010,171,2,1,1,0.39800143241882324,1-2,0.0,0.0
Cosmos3_seed101_0010,174,2,1,1,0.4227551817893982,1-2,0.0,0.0
Cosmos3_seed101_0010,177,2,1,1,0.48689693212509155,1-2,0.0,0.0
Cosmos3_seed101_0010,180,2,1,1,0.5158789753913879,1-2,0.0,0.0
Cosmos3_seed101_0010,183,2,1,1,0.543856680393219,1-2,0.0,0.0
Cosmos3_seed101_0010,186,2,1,1,0.562322199344635,1-2,0.0,0.0
Cosmos3_seed101_0010,188,2,1,1,0.517103374004364,1-2,0.0,0.0
Cosmos3_seed101_0020,0,1,0,0,0.0,,,
Cosmos3_seed101_0020,3,1,0,0,0.0,,,
Cosmos3_seed101_0020,6,1,0,0,0.0,,,
Cosmos3_seed101_0020,9,1,0,0,0.0,,,
Cosmos3_seed101_0020,12,1,0,0,0.0,,,
Cosmos3_seed101_0020,15,1,0,0,0.0,,,
Cosmos3_seed101_0020,18,1,0,0,0.0,,,
Cosmos3_seed101_0020,21,1,0,0,0.0,,,
Cosmos3_seed101_0020,24,1,0,0,0.0,,,
Cosmos3_seed101_0020,27,1,0,0,0.0,,,
Cosmos3_seed101_0020,30,1,0,0,0.0,,,
Cosmos3_seed101_0020,33,1,0,0,0.0,,,
Cosmos3_seed101_0020,36,1,0,0,0.0,,,
Cosmos3_seed101_0020,39,1,0,0,0.0,,,
Cosmos3_seed101_0020,42,1,0,0,0.0,,,
Cosmos3_seed101_0020,45,3,3,0,0.0,,,
Cosmos3_seed101_0020,48,1,0,0,0.0,,,
Cosmos3_seed101_0020,51,1,0,0,0.0,,,
Cosmos3_seed101_0020,54,2,1,0,0.0,,,
Cosmos3_seed101_0020,57,3,3,0,0.0,,,
Cosmos3_seed101_0020,60,3,3,0,0.0,,,
Cosmos3_seed101_0020,63,3,3,0,0.0,,,
Cosmos3_seed101_0020,66,2,1,0,0.0,,,
Cosmos3_seed101_0020,69,1,0,0,0.0,,,
Cosmos3_seed101_0020,72,1,0,0,0.0,,,
Cosmos3_seed101_0020,75,1,0,0,0.0,,,
Cosmos3_seed101_0020,78,1,0,0,0.0,,,
Cosmos3_seed101_0020,81,1,0,0,0.0,,,
Cosmos3_seed101_0020,84,2,1,0,0.0,,,
Cosmos3_seed101_0020,87,2,1,0,0.0,,,
Cosmos3_seed101_0020,90,2,1,0,0.0,,,
Cosmos3_seed101_0020,93,2,1,0,0.0,,,
Cosmos3_seed101_0020,96,3,3,0,0.0,,,
