case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b
Cosmos2.5_0058,57,2,3,0.33827289938926697,0.30382526753208233,1.0,True,0.4034358561038971,0.177697479724884,0.7419226765632629,0.6624120473861694,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_03.png
Cosmos2.5_0058,60,1,2,0.552005410194397,0.0,0.0,False,0.4938529431819916,0.3943619132041931,0.960708498954773,0.7349260449409485,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_02.png
Cosmos2.5_0058,60,1,3,0.1693015992641449,0.0,0.0,False,0.4938529431819916,0.1465800702571869,0.960708498954773,0.6323423981666565,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_03.png
Cosmos2.5_0058,60,2,3,0.39210623502731323,0.29614646261654737,1.0,True,0.3943619132041931,0.1465800702571869,0.7349260449409485,0.6323423981666565,0.96875,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_03.png
Cosmos2.5_0058,63,1,2,0.502679705619812,0.0,0.0,False,0.4783101975917816,0.4089924693107605,0.9604950547218324,0.7538061141967773,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0063_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0063_rank_02.png
Cosmos2.5_0058,63,1,3,0.20686089992523193,0.0,0.0,False,0.4783101975917816,0.1374418884515762,0.9604950547218324,0.658645510673523,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0063_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0063_rank_03.png
Cosmos2.5_0058,63,2,3,0.37687045335769653,0.29791518949721374,1.0,True,0.4089924693107605,0.1374418884515762,0.7538061141967773,0.658645510673523,0.97265625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0063_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0063_rank_03.png
Cosmos2.5_0058,66,1,2,0.5115256905555725,0.0,0.0,False,0.4598560631275177,0.4331423938274383,0.9600965976715088,0.7697048187255859,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0066_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0066_rank_02.png
Cosmos2.5_0058,66,1,3,0.18214941024780273,0.0,0.0,False,0.4598560631275177,0.1376673728227615,0.9600965976715088,0.6803935170173645,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0066_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0066_rank_03.png
Cosmos2.5_0058,66,2,3,0.4481944143772125,0.28618902029431376,1.0,True,0.4331423938274383,0.1376673728227615,0.7697048187255859,0.6803935170173645,0.97265625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0066_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0066_rank_03.png
Cosmos2.5_0058,69,1,2,0.5634219646453857,0.0,0.0,False,0.4536914527416229,0.4384068846702575,0.9580284953117372,0.7915079593658447,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0069_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0069_rank_02.png
Cosmos2.5_0058,69,1,3,0.1689416468143463,0.0,0.0,False,0.4536914527416229,0.1647703647613525,0.9580284953117372,0.6721082925796509,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0069_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0069_rank_03.png
