case,frame,gt,rank_a,rank_b,src_sim_a,src_sim_b,min_source_sim,pair_similarity,iou,containment,nested,raw_pair_score,distinct_pair_score
Cosmos3_seed101_0003,54,NO_DUP,2,3,0.37814486026763916,0.2266903519630432,0.2266903519630432,0.31974416971206665,0.0,0.0,False,0.07248291837015941,0.07248291837015941
Cosmos3_seed101_0003,99,NO_DUP,1,2,0.2994552254676819,0.23261556029319763,0.23261556029319763,0.3356158435344696,0.0,0.0,False,0.0780694674870448,0.0780694674870448
Cosmos3_seed101_0003,99,NO_DUP,1,3,0.2994552254676819,0.2594181299209595,0.2594181299209595,0.21400585770606995,0.0,0.0,False,0.05551699939823962,0.05551699939823962
Cosmos3_seed101_0003,99,NO_DUP,2,3,0.23261556029319763,0.2594181299209595,0.23261556029319763,0.2230706810951233,0.026851767132474082,0.1392906749918016,False,0.05188971146792731,0.05188971146792731
Cosmos3_seed101_0003,123,NO_DUP,1,2,0.3729254901409149,0.3165346384048462,0.3165346384048462,0.8392143249511719,0.46255918684032277,1.0,True,0.2656404028925863,0.0
Cosmos3_seed101_0003,123,NO_DUP,1,3,0.3729254901409149,0.337596595287323,0.337596595287323,0.6182615756988525,0.27771347729454393,0.9265399799028684,True,0.20872300295290813,0.0
Cosmos3_seed101_0003,123,NO_DUP,2,3,0.3165346384048462,0.337596595287323,0.3165346384048462,0.5135841369628906,0.14176511557463417,1.0,True,0.16256716908401359,0.0
LVP_0004,12,NO_DUP,1,2,0.2547175884246826,0.23249253630638123,0.23249253630638123,0.5149112939834595,0.36056108703782397,1.0,True,0.11971303271101519,0.0
LVP_0004,12,NO_DUP,1,3,0.2547175884246826,0.2670220732688904,0.2547175884246826,0.3752692937850952,0.0,0.0,False,0.09558768952277319,0.09558768952277319
LVP_0004,12,NO_DUP,2,3,0.23249253630638123,0.2670220732688904,0.23249253630638123,0.5015231370925903,0.0,0.0,False,0.11660038615898927,0.11660038615898927
LVP_0004,15,NO_DUP,1,2,0.2865599989891052,0.29692065715789795,0.2865599989891052,0.3880424499511719,0.0,0.0,False,0.11119744406573773,0.11119744406573773
LVP_0004,15,NO_DUP,1,3,0.2865599989891052,0.18293176591396332,0.18293176591396332,0.5436002612113953,0.3614022372649593,1.0,True,0.09944175573469227,0.0
LVP_0004,15,NO_DUP,2,3,0.29692065715789795,0.18293176591396332,0.18293176591396332,0.44072604179382324,0.0,0.0,False,0.08062279310961529,0.08062279310961529
LVP_0004,18,NO_DUP,1,2,0.19669200479984283,0.2593185305595398,0.19669200479984283,0.4334835708141327,0.0,0.0,False,0.0852627525912264,0.0852627525912264
LVP_0004,18,NO_DUP,1,3,0.19669200479984283,0.23131728172302246,0.19669200479984283,0.2871339023113251,0.0,0.0,False,0.056476942891616755,0.056476942891616755
LVP_0004,18,NO_DUP,2,3,0.2593185305595398,0.23131728172302246,0.23131728172302246,0.4189387857913971,0.1994902174043387,0.9591048555360348,True,0.09690778113760956,0.0
LVP_0004,30,NO_DUP,1,2,0.3422960638999939,0.2677682936191559,0.2677682936191559,0.5422234535217285,0.0,0.0,False,0.14519024890979892,0.14519024890979892
LVP_0004,30,NO_DUP,1,3,0.3422960638999939,0.2515522837638855,0.2515522837638855,0.3607289493083954,0.0,0.0,False,0.09074219101827374,0.09074219101827374
LVP_0004,30,NO_DUP,2,3,0.2677682936191559,0.2515522837638855,0.2515522837638855,0.41758885979652405,0.1978734236687697,0.9594996247351153,True,0.10504543135617261,0.0
