case,frame,evidence
Cosmos3_seed101_0003,180,0.0741429963737714
Cosmos3_seed101_0003,183,0.06776344579603485
Cosmos3_seed101_0003,186,0.08687137250879923
Cosmos3_seed101_0003,188,0.054141855049598064
Cosmos3_seed101_0010,0,0.4053871135290343
Cosmos3_seed101_0010,3,0.40444157600872427
Cosmos3_seed101_0010,6,0.4018201080657945
Cosmos3_seed101_0010,9,0.4028601638713853
Cosmos3_seed101_0010,12,0.4173080927413038
Cosmos3_seed101_0010,15,0.40779811267910454
Cosmos3_seed101_0010,18,0.39648151072230464
Cosmos3_seed101_0010,21,0.378050104982903
Cosmos3_seed101_0010,24,0.3946407909705764
Cosmos3_seed101_0010,27,0.41664162177697667
Cosmos3_seed101_0010,30,0.4111435627978641
Cosmos3_seed101_0010,33,0.3821157756449862
Cosmos3_seed101_0010,36,0.4186385574478595
Cosmos3_seed101_0010,39,0.38969370240884543
Cosmos3_seed101_0010,42,0.4030999488806991
Cosmos3_seed101_0010,45,0.37914780847684787
Cosmos3_seed101_0010,48,0.3789543999232809
Cosmos3_seed101_0010,51,0.39035297191658563
Cosmos3_seed101_0010,54,0.3772541283051728
Cosmos3_seed101_0010,57,0.3945487051429838
Cosmos3_seed101_0010,60,0.4114731100496356
Cosmos3_seed101_0010,63,0.3956009813628775
Cosmos3_seed101_0010,66,0.40100945157819723
Cosmos3_seed101_0010,69,0.41434823527453546
Cosmos3_seed101_0010,72,0.42302509090555984
Cosmos3_seed101_0010,75,0.37335144335250947
Cosmos3_seed101_0010,78,0.3813059547429556
Cosmos3_seed101_0010,81,0.3969991767959174
Cosmos3_seed101_0010,84,0.3766461208470912
Cosmos3_seed101_0010,87,0.3721913226950045
Cosmos3_seed101_0010,90,0.39465322452318585
Cosmos3_seed101_0010,93,0.27519891198057006
Cosmos3_seed101_0010,96,0.29951101968841687
Cosmos3_seed101_0010,99,0.2972067317093467
Cosmos3_seed101_0010,102,0.30930350333002454
Cosmos3_seed101_0010,105,0.3267938699156786
Cosmos3_seed101_0010,108,0.3134926891646426
Cosmos3_seed101_0010,111,0.27713428123772227
Cosmos3_seed101_0010,114,0.2550042977731968
Cosmos3_seed101_0010,117,0.24262220311641944
Cosmos3_seed101_0010,120,0.2236510212840694
Cosmos3_seed101_0010,123,0.24680371563739198
Cosmos3_seed101_0010,126,0.2136313552596299
Cosmos3_seed101_0010,129,0.22701687972114198
Cosmos3_seed101_0010,132,0.16911722435594204
Cosmos3_seed101_0010,135,0.19554960282085043
Cosmos3_seed101_0010,138,0.20581362004910833
Cosmos3_seed101_0010,141,0.2890508533580229
Cosmos3_seed101_0010,144,0.290808717263169
Cosmos3_seed101_0010,147,0.2796291490239486
Cosmos3_seed101_0010,150,0.28163658123154955
Cosmos3_seed101_0010,153,0.27877358167300764
Cosmos3_seed101_0010,156,0.2842521349961741
Cosmos3_seed101_0010,159,0.24843440445812473
Cosmos3_seed101_0010,162,0.23194662015359338
Cosmos3_seed101_0010,165,0.232241397405503
Cosmos3_seed101_0010,168,0.24571692716635765
Cosmos3_seed101_0010,171,0.22213568960667532
Cosmos3_seed101_0010,174,0.2306756665132075
Cosmos3_seed101_0010,177,0.2492570011156787
Cosmos3_seed101_0010,180,0.2990622092628485
Cosmos3_seed101_0010,183,0.3031093594067646
Cosmos3_seed101_0010,186,0.3109622873950383
Cosmos3_seed101_0010,188,0.27047030271384165
Cosmos3_seed101_0012,0,0.3568962913745689
Cosmos3_seed101_0012,3,0.3271782012949423
Cosmos3_seed101_0012,6,0.3527963148140951
Cosmos3_seed101_0012,9,0.3670572608276611
Cosmos3_seed101_0012,12,0.36605818610061985
Cosmos3_seed101_0012,15,0.3490827045071714
Cosmos3_seed101_0012,18,0.342387512433961
Cosmos3_seed101_0012,21,0.35256397465436723
Cosmos3_seed101_0012,24,0.3948528426911195
Cosmos3_seed101_0012,27,0.37527563875927394
Cosmos3_seed101_0012,30,0.3157102418842864
Cosmos3_seed101_0012,33,0.3236807917367589
Cosmos3_seed101_0012,36,0.31219299349347496
Cosmos3_seed101_0012,39,0.31698040098193647
Cosmos3_seed101_0012,42,0.3017414480331786
Cosmos3_seed101_0012,45,0.38789337893638287
Cosmos3_seed101_0012,48,0.35645813147283084
Cosmos3_seed101_0012,51,0.3783673652695362
Cosmos3_seed101_0012,54,0.3586686542017973
Cosmos3_seed101_0012,57,0.3675179868039545
Cosmos3_seed101_0012,60,0.3613479787725249
Cosmos3_seed101_0012,63,0.3760981663882465
Cosmos3_seed101_0012,66,0.37737853944752126
Cosmos3_seed101_0012,69,0.3780165115027803
Cosmos3_seed101_0012,72,0.34172748106523676
Cosmos3_seed101_0012,75,0.3316180637209289
Cosmos3_seed101_0012,78,0.3382403893520491
Cosmos3_seed101_0012,81,0.33615270718222806
Cosmos3_seed101_0012,84,0.33437188412291163
Cosmos3_seed101_0012,87,0.32332939291067986
Cosmos3_seed101_0012,90,0.30218123230175836
Cosmos3_seed101_0012,93,0.3302971441937499
Cosmos3_seed101_0012,96,0.3134020219104108
Cosmos3_seed101_0012,99,0.3630654142148035
Cosmos3_seed101_0012,102,0.3162039129463622
Cosmos3_seed101_0012,105,0.34457590180399106
Cosmos3_seed101_0012,108,0.2879975185554394
Cosmos3_seed101_0012,111,0.3370540951556566
Cosmos3_seed101_0012,114,0.33509897546053896
Cosmos3_seed101_0012,117,0.2653521734948783
Cosmos3_seed101_0012,120,0.2297746146941859
Cosmos3_seed101_0012,123,0.20578235408059525
Cosmos3_seed101_0012,126,0.2148006466459133
Cosmos3_seed101_0012,129,0.2311073460820352
Cosmos3_seed101_0012,132,0.19154809777523002
Cosmos3_seed101_0012,135,0.15353853366211384
Cosmos3_seed101_0012,138,0.10764590502383888
Cosmos3_seed101_0012,141,0.17323387302069287
Cosmos3_seed101_0012,144,0.2150670389690933
Cosmos3_seed101_0012,147,0.19803211358476763
Cosmos3_seed101_0012,150,0.22723161739292388
Cosmos3_seed101_0012,153,0.1768807851540673
Cosmos3_seed101_0012,156,0.20382456486915101
Cosmos3_seed101_0012,159,0.27278468240028136
Cosmos3_seed101_0012,162,0.23064696490410425
Cosmos3_seed101_0012,165,0.1714135492397597
Cosmos3_seed101_0012,168,0.19342434859354773
Cosmos3_seed101_0012,171,0.18916925489836056
Cosmos3_seed101_0012,174,0.19589734006774812
