case,frame,rank_a,rank_b,edge_gap_norm,base,size,strict_size,base_spatial,size_spatial,strict_size_spatial
Cosmos2.5_0016,90,1,2,1.560282146972602,0.3258202788397912,0.2842255485343343,0.2604917450501761,0.3258202788397912,0.2842255485343343,0.2604917450501761
Cosmos2.5_0016,90,1,3,0.9302568666346507,0.1470843979657,0.0948065131547604,0.0790105958545806,0.1470843979657,0.0948065131547604,0.0790105958545806
Cosmos2.5_0016,92,1,2,1.5837832797069293,0.3308717129227664,0.2882633435319935,0.2646105831116239,0.3308717129227664,0.2882633435319935,0.2646105831116239
Cosmos2.5_0016,92,1,3,0.9423629033606361,0.1176527362494665,0.075694423830335,0.0630864984972413,0.1176527362494665,0.075694423830335,0.0630864984972413
Cosmos2.5_0036,0,1,2,0.810904121893938,0.0464763088190755,0.018286674963308,0.0146827253116506,0.0464763088190755,0.018286674963308,0.0146827253116506
Cosmos2.5_0036,0,1,3,0.8794349292368412,0.037784375563418,0.0106592846146265,0.0081816984211104,0.037784375563418,0.0106592846146265,0.0081816984211104
Cosmos2.5_0036,0,2,3,0.0,0.1427006547015437,0.1023148467307253,0.0978097476456797,0.0,0.0,0.0
Cosmos2.5_0036,3,1,2,0.8842283575216225,0.0646576435318835,0.0626596685356174,0.0610537568579693,0.0646576435318835,0.0626596685356174,0.0610537568579693
Cosmos2.5_0036,3,1,3,0.6433545011186043,0.0477520487775911,0.0164676327948454,0.0118517143121008,0.0477520487775911,0.0164676327948454,0.0118517143121008
Cosmos2.5_0036,3,2,3,1.008066031014599,0.0874766647217114,0.0311288559837487,0.0229926411090311,0.0874766647217114,0.0311288559837487,0.0229926411090311
Cosmos2.5_0036,6,1,2,0.7344953827409513,0.0466146885934102,0.0460145314954897,0.0454864582389619,0.0466146885934102,0.0460145314954897,0.0454864582389619
Cosmos2.5_0036,6,1,3,0.6508316711064617,0.0448285254070242,0.0155926718963563,0.0111914249045255,0.0448285254070242,0.0155926718963563,0.0111914249045255
Cosmos2.5_0036,6,2,3,1.0623026399171611,0.069972955596598,0.0246560832850692,0.0174934734593496,0.069972955596598,0.0246560832850692,0.0174934734593496
Cosmos2.5_0036,9,1,2,0.6454887615970774,0.0511037121538778,0.0176075864729055,0.0127601696178559,0.0511037121538778,0.0176075864729055,0.0127601696178559
Cosmos2.5_0036,12,1,2,0.7856853228473794,0.0395820118221476,0.0154023799772467,0.0125282208749597,0.0395820118221476,0.0154023799772467,0.0125282208749597
