case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b,track_a,track_b,birth_a,obs_a,life_a,birth_b,obs_b,life_b,first_frame,post_initial_a,post_initial_b,persistent_a,persistent_b,new_persistent_a,new_persistent_b,has_new_persistent_track,spatially_distinct,eligible,min_siglip,min_gdino,semantic_support,dup_evidence,eligible_dup_evidence
Cosmos2.5_0058,51,1,2,0.5646776556968689,0.0,0.0,False,0.5004051327705383,0.3893924653530121,0.9572149515151978,0.8199961185455322,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8199961185455322,0.3893924653530121,0.5650666422470411,0.3190805068565604,0.3190805068565604
Cosmos2.5_0058,51,1,3,0.5065587162971497,0.0,0.0,False,0.5004051327705383,0.1397786289453506,0.9572149515151978,0.6713608503341675,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.6713608503341675,0.1397786289453506,0.3063362518333321,0.15517729848397305,0.15517729848397305
Cosmos2.5_0058,51,2,3,0.6892430782318115,0.3529794634908737,1.0,True,0.3893924653530121,0.1397786289453506,0.8199961185455322,0.6713608503341675,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_03.png,T01,T03,15,27,77,42,18,50,0,True,True,True,True,True,True,True,False,False,0.6713608503341675,0.1397786289453506,0.3063362518333321,0.21114014118760122,0.0
Cosmos2.5_0058,54,1,2,0.5948339700698853,0.0,0.0,False,0.4751045703887939,0.4241486191749573,0.9588934183120728,0.7939081788063049,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.7939081788063049,0.4241486191749573,0.5802887710376613,0.34517547346330674,0.34517547346330674
Cosmos2.5_0058,54,1,3,0.2463821917772293,0.0,0.0,False,0.4751045703887939,0.1747581958770752,0.9588934183120728,0.6321759819984436,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.6321759819984436,0.1747581958770752,0.3323822108520045,0.08189305761747803,0.08189305761747803
Cosmos2.5_0058,54,2,3,0.341409683227539,0.298374999670557,1.0,True,0.4241486191749573,0.1747581958770752,0.7939081788063049,0.6321759819984436,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_03.png,T01,T03,15,27,77,42,18,50,0,True,True,True,True,True,True,True,False,False,0.6321759819984436,0.1747581958770752,0.3323822108520045,0.11347850531745193,0.0
Cosmos2.5_0058,57,1,2,0.5532741546630859,0.0,0.0,False,0.4778877198696136,0.4034358561038971,0.9667527675628662,0.7419226765632629,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.7419226765632629,0.4034358561038971,0.547099817384538,0.3026961889797589,0.3026961889797589
Cosmos2.5_0058,57,1,3,0.2339321970939636,0.0,0.0,False,0.4778877198696136,0.177697479724884,0.9667527675628662,0.6624120473861694,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.6624120473861694,0.177697479724884,0.34308738152243773,0.08025918495475878,0.08025918495475878
Cosmos2.5_0058,57,2,3,0.3382728993892669,0.3038252675320823,1.0,True,0.4034358561038971,0.177697479724884,0.7419226765632629,0.6624120473861694,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_03.png,T01,T03,15,27,77,42,18,50,0,True,True,True,True,True,True,True,False,False,0.6624120473861694,0.177697479724884,0.34308738152243773,0.1160571632914666,0.0
Cosmos2.5_0058,60,1,2,0.552005410194397,0.0,0.0,False,0.4938529431819916,0.3943619132041931,0.960708498954773,0.7349260449409485,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0060_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.7349260449409485,0.3943619132041931,0.538355682747478,0.2971752494855063,0.2971752494855063
