case,track_id,birth_frame,birth_rank,source_similarity,gdino_score,most_similar_existing_track,similarity_to_existing,last_frame,n_observations,lifespan_frames,median_source_similarity,median_gdino_score
Cosmos3_seed101_0049,T08,168,2,0.7208046317100525,0.1242469176650047,T00,0.6597548723220825,177,4,9,0.6674327254295349,0.1248186938464641
Cosmos3_seed101_0049,T09,168,3,0.6927273273468018,0.143881008028984,T00,0.6024569869041443,168,1,0,0.6927273273468018,0.143881008028984
Cosmos3_seed101_0049,T10,180,2,0.5846927165985107,0.1337522566318512,T00,0.1374964565038681,188,4,8,0.5830731987953186,0.13327863812446594
LVP_0043,T00,0,1,0.9220855236053468,0.3885081112384796,,,48,17,48,0.8253215551376343,0.3833882212638855
LVP_0043,T01,0,2,0.7351398468017578,0.2346064299345016,,,24,8,24,0.7217970490455627,0.2334469780325889
LVP_0043,T02,0,3,0.5753049254417419,0.1536426693201065,,,15,6,15,0.5706591010093689,0.16007893532514572
LVP_0043,T03,18,3,0.554401159286499,0.1565406769514084,T00,0.24221044778823853,48,11,30,0.5666536092758179,0.1614590138196945
LVP_0043,T04,21,2,0.7021983861923218,0.2336517423391342,T00,0.17735019326210022,36,5,15,0.7032239437103271,0.2336517423391342
LVP_0043,T05,42,2,0.696738600730896,0.2137165665626526,T03,0.214193657040596,48,3,6,0.696738600730896,0.2227587252855301
LVP_0062,T00,0,1,0.9601816534996032,0.884270191192627,,,48,17,48,0.9156539440155028,0.8504104018211365
LVP_0062,T01,30,2,0.7589421272277832,0.2232289612293243,T00,0.5852389335632324,30,1,0,0.7589421272277832,0.2232289612293243
LVP_0062,T02,42,2,0.835589587688446,0.1160123720765113,T00,0.6040909886360168,48,3,6,0.8911863565444946,0.123277448117733
