case,frame,rank,track_id,is_birth,match_dino,center_distance,match_cost,source_similarity,gdino_score,crop_path
Cosmos3_seed101_0010,90,3,T02,False,0.9661457538604736,9.673820421112732e-05,0.02541486915569756,0.7326157689094543,0.4124017655849457,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0090_rank_03.png
Cosmos3_seed101_0010,93,1,T00,False,0.9837245345115662,0.00019573351200445187,0.01225553249432649,0.9494196176528932,0.4914523363113403,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0093_rank_01.png
Cosmos3_seed101_0010,93,3,T02,False,0.9629762172698975,0.00011151245553153185,0.02779571516145979,0.7191407680511475,0.3919401168823242,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0093_rank_03.png
Cosmos3_seed101_0010,93,2,T01,False,0.7170923948287964,4.5306023454820175e-05,0.21219203038426643,0.8159080147743225,0.3238557577133178,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0093_rank_02.png
Cosmos3_seed101_0010,96,1,T00,False,0.9732273817062378,0.00014767827587294059,0.02011638328928989,0.941329836845398,0.5073562860488892,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0096_rank_01.png
Cosmos3_seed101_0010,96,3,T02,False,0.9715785384178162,8.294780073338532e-05,0.021336833136821224,0.7323166131973267,0.4072536826133728,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0096_rank_03.png
Cosmos3_seed101_0010,96,2,T01,False,0.6616837978363037,0.0006898734234025651,0.2539096199786229,0.7738977670669556,0.2337540239095688,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0096_rank_02.png
Cosmos3_seed101_0010,99,1,T00,False,0.9855159521102905,9.026797995374736e-05,0.010885602912270542,0.9278834462165833,0.6806739568710327,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0099_rank_01.png
Cosmos3_seed101_0010,99,2,T02,False,0.9692944884300232,3.881266523520382e-05,0.023038836843791405,0.7459772825241089,0.3916248083114624,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0099_rank_02.png
Cosmos3_seed101_0010,102,1,T00,False,0.9829744100570679,3.810502726249288e-05,0.01277871871401472,0.9339733123779296,0.6409730911254883,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0102_rank_01.png
Cosmos3_seed101_0010,102,2,T02,False,0.9416297674179077,7.74422373350762e-05,0.043797034995902984,0.7435643076896667,0.4185874164104461,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0102_rank_02.png
Cosmos3_seed101_0010,105,1,T00,False,0.986519455909729,0.0003583664232243928,0.010199999673509345,0.9346563220024108,0.6205117702484131,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0105_rank_01.png
Cosmos3_seed101_0010,105,2,T02,False,0.9602551460266113,0.00020236258946918837,0.029859231127408802,0.7491798400878906,0.3974943459033966,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0105_rank_02.png
Cosmos3_seed101_0010,108,1,T00,False,0.9860525727272034,1.7062122818714275e-05,0.010464835985302151,0.9605496525764464,0.6396287083625793,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0108_rank_01.png
Cosmos3_seed101_0010,108,2,T02,False,0.9721922278404236,0.00010623158074144367,0.020882387014867672,0.7416015863418579,0.3910005092620849,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0108_rank_02.png
Cosmos3_seed101_0010,111,1,T00,False,0.9604485034942627,0.0003522498847808883,0.0297516848504982,0.93861722946167,0.7214541435241699,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0111_rank_01.png
Cosmos3_seed101_0010,111,2,T02,False,0.8533391952514648,0.0004400079211502593,0.11010560554168893,0.70270174741745,0.3288624286651611,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0111_rank_02.png
Cosmos3_seed101_0010,114,1,T00,False,0.9686819911003113,0.0006069702316450448,0.023640249232677803,0.9434828162193298,0.6713359355926514,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0114_rank_01.png
Cosmos3_seed101_0010,114,2,T02,False,0.9043506979942322,0.0006805734894117385,0.0719071198766788,0.6988369226455688,0.353196233510971,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0114_rank_02.png
Cosmos3_seed101_0010,117,1,T00,False,0.9864174127578735,0.00016023975355895963,0.010227000369984588,0.9596555233001708,0.671203076839447,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0117_rank_01.png
Cosmos3_seed101_0010,117,2,T02,False,0.9305458068847656,5.161648132212373e-05,0.05210354895675631,0.6802688241004944,0.395153284072876,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0117_rank_02.png
Cosmos3_seed101_0010,120,2,T02,False,0.9363018274307251,0.0005733605213477387,0.04791696955729311,0.7199878692626953,0.3734113276004791,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0120_rank_02.png
Cosmos3_seed101_0010,120,1,T00,False,0.9163388013839722,0.0007605768187099779,0.06293604316669837,0.9515339732170104,0.605822741985321,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0120_rank_01.png
Cosmos3_seed101_0010,123,1,T00,False,0.93571937084198,0.00020030817186490087,0.04826054891148124,0.947739839553833,0.670113742351532,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0123_rank_01.png
Cosmos3_seed101_0010,123,2,T02,False,0.9310837984085083,0.00019739789912261356,0.05173650066839943,0.7195079326629639,0.3838505744934082,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0123_rank_02.png
Cosmos3_seed101_0010,126,1,T00,False,0.9804420471191406,0.00013903922236294962,0.014703224466235268,0.9641953706741332,0.7414374947547913,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0126_rank_01.png
Cosmos3_seed101_0010,126,2,T02,False,0.8590095043182373,0.0004318396843576775,0.10585083168241144,0.7087529897689819,0.3133491575717926,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0126_rank_02.png
Cosmos3_seed101_0010,129,1,T00,False,0.9813515543937683,1.5469742694632025e-05,0.013990201640347425,0.949404776096344,0.6956761479377747,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos3_seed101_0010/frame_0129_rank_01.png
