case,track_id,birth_frame,last_frame,n_observations,lifespan_frames,median_source_similarity,median_gdino_score,birth_existing_track,birth_existing_similarity
Cosmos3_seed101_0036,T00,0,132,44,132,0.855981320142746,0.6118768453598022,,
Cosmos3_seed101_0036,T01,0,6,3,6,0.6091910600662231,0.1322802603244781,,
Cosmos3_seed101_0036,T02,0,45,13,45,0.6253290176391602,0.1133821457624435,,
Cosmos3_seed101_0036,T03,3,18,4,15,0.6077523529529572,0.13322614133358,T01,0.2514166831970215
Cosmos3_seed101_0036,T04,12,12,1,0,0.6482915878295898,0.1014652773737907,T02,0.38364362716674805
Cosmos3_seed101_0036,T05,18,18,1,0,0.5669352412223816,0.152625173330307,T00,0.12800392508506775
Cosmos3_seed101_0036,T06,21,30,3,9,0.6234792470932007,0.1047561764717102,T02,0.24275478720664978
Cosmos3_seed101_0036,T07,24,27,2,3,0.680395781993866,0.11204626783728594,T06,0.33971601724624634
Cosmos3_seed101_0036,T08,33,39,3,6,0.6190755367279053,0.1984517127275467,T02,0.348905086517334
Cosmos3_seed101_0036,T09,42,129,30,87,0.6803805828094482,0.14028548449277875,T02,0.3081554174423218
Cosmos3_seed101_0036,T10,48,63,5,15,0.6350023746490479,0.1378577351570129,T09,0.2018270492553711
Cosmos3_seed101_0036,T11,60,108,15,48,0.772330105304718,0.1457183957099914,T00,0.29837238788604736
Cosmos3_seed101_0036,T12,78,78,1,0,0.6305088996887207,0.1647254973649978,T00,0.293117880821228
Cosmos3_seed101_0036,T13,111,188,27,77,0.957016944885254,0.5582616329193115,T00,0.41044163703918457
Cosmos3_seed101_0036,T14,120,120,1,0,0.6662517786026001,0.1384268701076507,T09,0.36875098943710327
Cosmos3_seed101_0036,T15,132,188,20,56,0.8544877171516418,0.5554351806640625,T13,0.9157556295394897
Cosmos3_seed101_0036,T16,135,135,1,0,0.6241747140884399,0.1637714654207229,T15,0.06762713193893433
Cosmos3_seed101_0036,T17,138,141,2,3,0.6290514171123505,0.14018264412879938,T15,0.1896975338459015
Cosmos3_seed101_0036,T18,144,153,4,9,0.6270832419395447,0.14374727010726923,T15,0.34309929609298706
Cosmos3_seed101_0036,T19,156,180,8,24,0.6587221026420593,0.15884144604206085,T15,0.2954472601413727
Cosmos3_seed101_0036,T20,174,174,1,0,0.6521949768066406,0.1180104166269302,T15,0.21305686235427856
Cosmos3_seed101_0036,T21,183,186,2,3,0.6180826425552368,0.1400103718042373,T13,0.04002660512924194
Cosmos3_seed101_0036,T22,188,188,1,0,0.6614951491355896,0.1061195507645607,T13,0.20758402347564697
LVP_0030,T00,0,48,17,48,0.8803309202194214,0.680604100227356,,
LVP_0030,T01,0,18,7,18,0.6463642120361328,0.1532501131296157,,
LVP_0030,T02,18,21,2,3,0.6384002268314362,0.1068336069583892,T00,0.1856936812400818
LVP_0030,T03,21,24,2,3,0.6021287143230438,0.15606014430522916,T00,0.4648019075393677
