case,frame,rank,old_source_similarity,gdino_score,sam_score,mask_pixels,crop_path
Cosmos3_seed101_0003,156,3,0.5838828086853027,0.10696597397327423,0.94921875,5735,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_03.png
Cosmos3_seed101_0003,162,1,0.83326256275177,0.6036368012428284,0.95703125,648,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_01.png
Cosmos3_seed101_0003,162,2,0.8286688923835754,0.26286327838897705,0.953125,1092,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_02.png
Cosmos3_seed101_0003,162,3,0.5857996940612793,0.16367444396018982,0.984375,24109,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_03.png
Cosmos3_seed101_0003,168,1,0.8233646750450134,0.28124040365219116,0.9453125,962,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0168_rank_01.png
Cosmos3_seed101_0003,168,2,0.7963961958885193,0.5788214206695557,0.95703125,649,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0168_rank_02.png
Cosmos3_seed101_0003,168,3,0.6232683062553406,0.11749392002820969,0.86328125,1117,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0168_rank_03.png
Cosmos3_seed101_0003,177,1,0.8149381875991821,0.6352819204330444,0.95703125,645,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0177_rank_01.png
Cosmos3_seed101_0003,177,2,0.6003279685974121,0.10784068703651428,0.9375,5915,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0177_rank_02.png
Cosmos3_seed101_0003,177,3,0.5626499056816101,0.15353184938430786,0.984375,24498,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0177_rank_03.png
LVP_0004,9,1,0.8822458982467651,0.5829532742500305,0.96484375,439,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0009_rank_01.png
LVP_0004,9,2,0.6368669867515564,0.14799073338508606,0.984375,11382,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0009_rank_02.png
LVP_0004,9,3,0.5842298269271851,0.18766026198863983,0.97265625,127982,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0009_rank_03.png
LVP_0004,12,1,0.7861095666885376,0.12166809290647507,0.9296875,906,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0012_rank_01.png
LVP_0004,12,2,0.7259721159934998,0.4118386209011078,0.95703125,397,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0012_rank_02.png
LVP_0004,12,3,0.724083423614502,0.13707083463668823,0.87109375,525,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0012_rank_03.png
LVP_0004,15,1,0.8251073956489563,0.11460544914007187,0.921875,939,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0015_rank_01.png
LVP_0004,15,2,0.7493254542350769,0.1371811479330063,0.859375,494,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0015_rank_02.png
LVP_0004,15,3,0.7409746646881104,0.39623305201530457,0.95703125,409,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0015_rank_03.png
LVP_0004,18,1,0.7785374522209167,0.37005865573883057,0.95703125,424,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0018_rank_01.png
LVP_0004,18,2,0.7489974498748779,0.1597505360841751,0.87890625,516,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0018_rank_02.png
LVP_0004,18,3,0.677403450012207,0.21255110204219818,0.94921875,2981,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0018_rank_03.png
LVP_0004,30,1,0.7690397500991821,0.3288576602935791,0.95703125,429,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0030_rank_01.png
LVP_0004,30,2,0.7459002733230591,0.14043225347995758,0.87109375,518,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0030_rank_02.png
LVP_0004,30,3,0.6754896640777588,0.1793322116136551,0.94921875,2998,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0030_rank_03.png
LVP_0004,39,1,0.7299221158027649,0.1564967930316925,0.85546875,518,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0039_rank_01.png
LVP_0004,39,2,0.6655012369155884,0.12400894612073898,0.7890625,1232,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0039_rank_02.png
LVP_0004,39,3,0.6654146909713745,0.1421116292476654,0.953125,676,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0039_rank_03.png
LVP_0004,45,1,0.7437080144882202,0.12908777594566345,0.88671875,523,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0045_rank_01.png
LVP_0004,45,2,0.691474437713623,0.1400100737810135,0.84765625,575,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0045_rank_02.png
LVP_0004,45,3,0.670931339263916,0.2720802426338196,0.953125,2905,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/LVP_0004/frame_0045_rank_03.png
