case,frame,prompt,raw_detections,count_012,count_020,count_030,max_score
Cosmos3_seed101_0049,186,yellow banana,2,2,1,1,0.6511856913566589
Cosmos3_seed101_0049,188,yellow banana,2,2,1,1,0.6727854013442993
LVP_0062,0,brown cup,1,1,1,1,0.884270191192627
LVP_0062,3,brown cup,1,1,1,1,0.8717400431632996
LVP_0062,6,brown cup,1,1,1,1,0.8661379218101501
LVP_0062,9,brown cup,1,1,1,1,0.8647639155387878
LVP_0062,12,brown cup,1,1,1,1,0.8593823313713074
LVP_0062,15,brown cup,1,1,1,1,0.853746235370636
LVP_0062,18,brown cup,1,1,1,1,0.8444293141365051
LVP_0062,21,brown cup,1,1,1,1,0.8449677228927612
LVP_0062,24,brown cup,1,1,1,1,0.8470353484153748
LVP_0062,27,brown cup,1,1,1,1,0.8252031803131104
LVP_0062,30,brown cup,2,2,2,1,0.640387773513794
LVP_0062,33,brown cup,1,1,1,1,0.8568311333656311
LVP_0062,36,brown cup,1,1,1,1,0.8559831380844116
LVP_0062,39,brown cup,1,1,1,1,0.8504104018211365
LVP_0062,42,brown cup,2,1,1,1,0.8267149329185486
LVP_0062,45,brown cup,2,2,1,1,0.8078992962837219
LVP_0062,48,brown cup,2,2,1,1,0.7975670099258423
LVP_0043,0,button,182,87,2,1,0.3885081112384796
LVP_0043,3,button,192,91,2,1,0.39274370670318604
LVP_0043,6,button,192,88,2,1,0.397092342376709
LVP_0043,9,button,190,91,2,1,0.39068660140037537
LVP_0043,12,button,208,98,2,1,0.3843119740486145
LVP_0043,15,button,199,95,2,1,0.3833882212638855
LVP_0043,18,button,214,108,2,1,0.3810298442840576
LVP_0043,21,button,216,106,2,1,0.37649497389793396
LVP_0043,24,button,205,114,2,1,0.3727054297924042
LVP_0043,27,button,221,110,2,1,0.38112589716911316
LVP_0043,30,button,214,109,3,1,0.380008339881897
LVP_0043,33,button,213,107,2,1,0.3855119049549103
LVP_0043,36,button,222,103,2,1,0.3823692500591278
LVP_0043,39,button,211,107,3,1,0.3743833005428314
LVP_0043,42,button,206,102,2,1,0.383968710899353
LVP_0043,45,button,191,100,2,1,0.3862142860889435
LVP_0043,48,button,195,99,2,1,0.381619393825531
