case,frame,best_pair_score,pair_similarity,min_source_similarity,source_sim_a,source_sim_b
Cosmos3_seed101_0003,6,0.345693660392854,0.582919716835022,0.5930382013320923,0.985902726650238,0.5930382013320923
Cosmos3_seed101_0003,9,0.3579831369149673,0.6046463251113892,0.5920537710189819,0.983190417289734,0.5920537710189819
Cosmos3_seed101_0003,12,0.333845215212925,0.594197154045105,0.5618425011634827,0.573721170425415,0.5618425011634827
Cosmos3_seed101_0003,15,0.35800414065691655,0.6289894580841064,0.5691735148429871,0.5808577537536621,0.5691735148429871
Cosmos3_seed101_0003,18,0.3955367384980306,0.7072866559028625,0.559231162071228,0.559231162071228,0.574062705039978
Cosmos3_seed101_0003,21,0.4050619934016595,0.7135763168334961,0.567650556564331,0.567650556564331,0.5744788646697998
Cosmos3_seed101_0003,24,0.39774442540588595,0.7330369353294373,0.5425980687141418,0.5700526237487793,0.5425980687141418
Cosmos3_seed101_0003,27,0.3877429434498225,0.8235373497009277,0.4708261787891388,0.5576537251472473,0.4708261787891388
Cosmos3_seed101_0003,30,0.5707399277878977,0.934613823890686,0.6106692552566528,0.6390115022659302,0.6106692552566528
Cosmos3_seed101_0003,33,0.45386802525829495,0.7889242768287659,0.575299859046936,0.6476720571517944,0.575299859046936
Cosmos3_seed101_0003,36,0.4664343493016432,0.7019044756889343,0.6645268201828003,0.9737381935119628,0.6645268201828003
Cosmos3_seed101_0003,39,0.452877954286123,0.6845798492431641,0.6615414619445801,0.9685035347938538,0.6615414619445801
Cosmos3_seed101_0003,42,0.4394048342183865,0.7634913325309753,0.575520396232605,0.6316162943840027,0.575520396232605
Cosmos3_seed101_0003,45,0.43865469058565054,0.685973584651947,0.639462947845459,0.93712055683136,0.639462947845459
Cosmos3_seed101_0003,48,0.4967863725841255,0.7586429119110107,0.65483558177948,0.8800025582313538,0.65483558177948
Cosmos3_seed101_0003,51,0.5889629255860882,0.8825066089630127,0.6673750877380371,0.7699435949325562,0.6673750877380371
Cosmos3_seed101_0003,54,0.5744885763885321,0.896221399307251,0.6410118937492371,0.7037636041641235,0.6410118937492371
Cosmos3_seed101_0003,57,0.5269627496397469,0.8155969977378845,0.6461067795753479,0.7289893627166748,0.6461067795753479
Cosmos3_seed101_0003,60,0.49269648883207395,0.7917446494102478,0.622292160987854,0.7577019929885864,0.622292160987854
Cosmos3_seed101_0003,63,0.49314869451046306,0.7813543677330017,0.6311460137367249,0.7592676877975464,0.6311460137367249
Cosmos3_seed101_0003,66,0.5112734167996393,0.8351891040802002,0.6121648550033569,0.6230329871177673,0.6121648550033569
Cosmos3_seed101_0003,69,0.474337557785077,0.8257718086242676,0.574417233467102,0.6049422025680542,0.574417233467102
Cosmos3_seed101_0003,72,0.4862049273193563,0.7707537412643433,0.6308174729347229,0.7514023780822754,0.6308174729347229
Cosmos3_seed101_0003,75,0.5652963511199154,0.8961861729621887,0.630780041217804,0.630780041217804,0.6708115339279175
Cosmos3_seed101_0003,78,0.5589468634416335,0.8535308837890625,0.6548642516136169,0.7021965384483337,0.6548642516136169
