case,frame,n_proposals,top1_similarity,top2_similarity
Cosmos3_seed101_0003,15,4,0.9765691757202148,0.5808577537536621
Cosmos3_seed101_0003,18,5,0.9777166247367859,0.5746719837188721
Cosmos3_seed101_0003,21,5,0.9789789915084839,0.5744788646697998
Cosmos3_seed101_0003,24,5,0.9809058904647827,0.5700526237487793
Cosmos3_seed101_0003,27,6,0.9714318513870239,0.602984607219696
Cosmos3_seed101_0003,30,7,0.975722074508667,0.6390115022659302
Cosmos3_seed101_0003,33,7,0.9715049266815186,0.6476720571517944
Cosmos3_seed101_0003,36,7,0.9737381935119629,0.6645268201828003
Cosmos3_seed101_0003,39,7,0.9685035347938538,0.6615414619445801
Cosmos3_seed101_0003,42,8,0.9614279270172119,0.6316162943840027
Cosmos3_seed101_0003,45,8,0.9371205568313599,0.639462947845459
Cosmos3_seed101_0003,48,10,0.8800025582313538,0.65483558177948
Cosmos3_seed101_0003,51,11,0.7699435949325562,0.6673750877380371
Cosmos3_seed101_0003,54,12,0.7037636041641235,0.6787556409835815
Cosmos3_seed101_0003,57,11,0.7289893627166748,0.6461067795753479
Cosmos3_seed101_0003,60,11,0.7577019929885864,0.622292160987854
Cosmos3_seed101_0003,63,11,0.7592676877975464,0.6311460137367249
Cosmos3_seed101_0003,66,12,0.7660213708877563,0.6230329871177673
Cosmos3_seed101_0003,69,12,0.7580445408821106,0.6049422025680542
Cosmos3_seed101_0003,72,12,0.7514023780822754,0.6308174729347229
Cosmos3_seed101_0003,75,10,0.7262214422225952,0.6708115339279175
Cosmos3_seed101_0003,78,12,0.7021965384483337,0.6691039204597473
Cosmos3_seed101_0003,81,12,0.7107683420181274,0.6707468032836914
Cosmos3_seed101_0003,84,9,0.7044522166252136,0.681175708770752
Cosmos3_seed101_0003,87,12,0.6749579906463623,0.628867506980896
Cosmos3_seed101_0003,90,12,0.7672635912895203,0.668262243270874
Cosmos3_seed101_0003,93,12,0.7399470210075378,0.6382826566696167
Cosmos3_seed101_0003,96,12,0.7201491594314575,0.6105502843856812
Cosmos3_seed101_0003,99,12,0.6425460577011108,0.6352518796920776
Cosmos3_seed101_0003,102,12,0.6592493653297424,0.6292679309844971
Cosmos3_seed101_0003,105,12,0.6497937440872192,0.6396912336349487
Cosmos3_seed101_0003,108,12,0.7462199926376343,0.6610742211341858
Cosmos3_seed101_0003,111,12,0.7318457365036011,0.6737504005432129
Cosmos3_seed101_0003,114,12,0.7337150573730469,0.6649882793426514
Cosmos3_seed101_0003,117,12,0.686859667301178,0.6751402616500854
Cosmos3_seed101_0003,120,12,0.7141072750091553,0.6375398635864258
Cosmos3_seed101_0003,123,11,0.7754027843475342,0.735155463218689
Cosmos3_seed101_0003,126,7,0.8007075786590576,0.6312427520751953
Cosmos3_seed101_0003,129,7,0.8375493884086609,0.6280388832092285
Cosmos3_seed101_0003,132,6,0.8012179136276245,0.6196146011352539
Cosmos3_seed101_0003,135,5,0.8131952285766602,0.6353849172592163
Cosmos3_seed101_0003,138,6,0.811902642250061,0.6757739782333374
Cosmos3_seed101_0003,141,6,0.8558263778686523,0.6252299547195435
Cosmos3_seed101_0003,144,8,0.8270624876022339,0.7379939556121826
Cosmos3_seed101_0003,147,5,0.8499675989151001,0.7193572521209717
Cosmos3_seed101_0003,150,5,0.8874403834342957,0.7025344371795654
Cosmos3_seed101_0003,153,6,0.8303263187408447,0.7387444376945496
Cosmos3_seed101_0003,156,6,0.8285282850265503,0.8283078670501709
Cosmos3_seed101_0003,159,6,0.8302068710327148,0.8133876323699951
Cosmos3_seed101_0003,162,6,0.83326256275177,0.8286688923835754
Cosmos3_seed101_0003,165,5,0.8192379474639893,0.8119592666625977
Cosmos3_seed101_0003,168,7,0.8233646750450134,0.7963961958885193
Cosmos3_seed101_0003,171,6,0.7916848659515381,0.7100238800048828
Cosmos3_seed101_0003,174,7,0.8151944875717163,0.6165829300880432
Cosmos3_seed101_0003,177,6,0.8149381875991821,0.6003279685974121
